lenguaje;n;algoritmo;escenario;repeticion;tiempo_ns;comparaciones
Python;100;Lineal;Inicio;1;3700;1
Python;100;Lineal;Inicio;2;2900;1
Python;100;Lineal;Inicio;3;1000;1
Python;100;Lineal;Inicio;4;400;1
Python;100;Lineal;Inicio;5;500;1
Python;100;Lineal;Inicio;6;400;1
Python;100;Lineal;Inicio;7;300;1
Python;100;Lineal;Inicio;8;300;1
Python;100;Lineal;Inicio;9;300;1
Python;100;Lineal;Inicio;10;400;1
Python;100;Lineal;Inicio;11;300;1
Python;100;Lineal;Inicio;12;400;1
Python;100;Lineal;Inicio;13;400;1
Python;100;Lineal;Inicio;14;300;1
Python;100;Lineal;Inicio;15;400;1
Python;100;Lineal;Inicio;16;300;1
Python;100;Lineal;Inicio;17;300;1
Python;100;Lineal;Inicio;18;300;1
Python;100;Lineal;Inicio;19;400;1
Python;100;Lineal;Inicio;20;400;1
Python;100;Lineal;Inicio;21;300;1
Python;100;Lineal;Inicio;22;300;1
Python;100;Lineal;Inicio;23;300;1
Python;100;Lineal;Inicio;24;300;1
Python;100;Lineal;Inicio;25;300;1
Python;100;Lineal;Inicio;26;300;1
Python;100;Lineal;Inicio;27;300;1
Python;100;Lineal;Inicio;28;300;1
Python;100;Lineal;Inicio;29;300;1
Python;100;Lineal;Inicio;30;300;1
Python;100;Binaria;Inicio;1;4600;6
Python;100;Binaria;Inicio;2;2000;6
Python;100;Binaria;Inicio;3;1200;6
Python;100;Binaria;Inicio;4;900;6
Python;100;Binaria;Inicio;5;1000;6
Python;100;Binaria;Inicio;6;1000;6
Python;100;Binaria;Inicio;7;900;6
Python;100;Binaria;Inicio;8;900;6
Python;100;Binaria;Inicio;9;900;6
Python;100;Binaria;Inicio;10;900;6
Python;100;Binaria;Inicio;11;1000;6
Python;100;Binaria;Inicio;12;900;6
Python;100;Binaria;Inicio;13;900;6
Python;100;Binaria;Inicio;14;900;6
Python;100;Binaria;Inicio;15;900;6
Python;100;Binaria;Inicio;16;900;6
Python;100;Binaria;Inicio;17;900;6
Python;100;Binaria;Inicio;18;1000;6
Python;100;Binaria;Inicio;19;900;6
Python;100;Binaria;Inicio;20;900;6
Python;100;Binaria;Inicio;21;1000;6
Python;100;Binaria;Inicio;22;900;6
Python;100;Binaria;Inicio;23;900;6
Python;100;Binaria;Inicio;24;900;6
Python;100;Binaria;Inicio;25;900;6
Python;100;Binaria;Inicio;26;900;6
Python;100;Binaria;Inicio;27;800;6
Python;100;Binaria;Inicio;28;900;6
Python;100;Binaria;Inicio;29;900;6
Python;100;Binaria;Inicio;30;900;6
Python;100;Lineal;Centro;1;3500;51
Python;100;Lineal;Centro;2;3300;51
Python;100;Lineal;Centro;3;3200;51
Python;100;Lineal;Centro;4;3000;51
Python;100;Lineal;Centro;5;3100;51
Python;100;Lineal;Centro;6;3100;51
Python;100;Lineal;Centro;7;3200;51
Python;100;Lineal;Centro;8;3100;51
Python;100;Lineal;Centro;9;3100;51
Python;100;Lineal;Centro;10;3000;51
Python;100;Lineal;Centro;11;3100;51
Python;100;Lineal;Centro;12;3100;51
Python;100;Lineal;Centro;13;3100;51
Python;100;Lineal;Centro;14;3000;51
Python;100;Lineal;Centro;15;3000;51
Python;100;Lineal;Centro;16;3000;51
Python;100;Lineal;Centro;17;3200;51
Python;100;Lineal;Centro;18;3000;51
Python;100;Lineal;Centro;19;3100;51
Python;100;Lineal;Centro;20;3100;51
Python;100;Lineal;Centro;21;3100;51
Python;100;Lineal;Centro;22;3000;51
Python;100;Lineal;Centro;23;3000;51
Python;100;Lineal;Centro;24;3000;51
Python;100;Lineal;Centro;25;3100;51
Python;100;Lineal;Centro;26;3100;51
Python;100;Lineal;Centro;27;3000;51
Python;100;Lineal;Centro;28;3100;51
Python;100;Lineal;Centro;29;3100;51
Python;100;Lineal;Centro;30;3000;51
Python;100;Binaria;Centro;1;1400;6
Python;100;Binaria;Centro;2;1100;6
Python;100;Binaria;Centro;3;1000;6
Python;100;Binaria;Centro;4;900;6
Python;100;Binaria;Centro;5;900;6
Python;100;Binaria;Centro;6;900;6
Python;100;Binaria;Centro;7;1000;6
Python;100;Binaria;Centro;8;1000;6
Python;100;Binaria;Centro;9;900;6
Python;100;Binaria;Centro;10;900;6
Python;100;Binaria;Centro;11;900;6
Python;100;Binaria;Centro;12;1000;6
Python;100;Binaria;Centro;13;900;6
Python;100;Binaria;Centro;14;900;6
Python;100;Binaria;Centro;15;900;6
Python;100;Binaria;Centro;16;900;6
Python;100;Binaria;Centro;17;900;6
Python;100;Binaria;Centro;18;900;6
Python;100;Binaria;Centro;19;1000;6
Python;100;Binaria;Centro;20;900;6
Python;100;Binaria;Centro;21;900;6
Python;100;Binaria;Centro;22;900;6
Python;100;Binaria;Centro;23;900;6
Python;100;Binaria;Centro;24;900;6
Python;100;Binaria;Centro;25;900;6
Python;100;Binaria;Centro;26;1000;6
Python;100;Binaria;Centro;27;900;6
Python;100;Binaria;Centro;28;900;6
Python;100;Binaria;Centro;29;900;6
Python;100;Binaria;Centro;30;900;6
Python;100;Lineal;Final;1;5800;100
Python;100;Lineal;Final;2;5900;100
Python;100;Lineal;Final;3;5900;100
Python;100;Lineal;Final;4;5900;100
Python;100;Lineal;Final;5;5700;100
Python;100;Lineal;Final;6;5700;100
Python;100;Lineal;Final;7;5700;100
Python;100;Lineal;Final;8;5500;100
Python;100;Lineal;Final;9;5600;100
Python;100;Lineal;Final;10;5600;100
Python;100;Lineal;Final;11;5500;100
Python;100;Lineal;Final;12;5600;100
Python;100;Lineal;Final;13;5500;100
Python;100;Lineal;Final;14;5500;100
Python;100;Lineal;Final;15;5500;100
Python;100;Lineal;Final;16;5600;100
Python;100;Lineal;Final;17;5500;100
Python;100;Lineal;Final;18;5500;100
Python;100;Lineal;Final;19;5500;100
Python;100;Lineal;Final;20;5600;100
Python;100;Lineal;Final;21;5600;100
Python;100;Lineal;Final;22;5500;100
Python;100;Lineal;Final;23;5500;100
Python;100;Lineal;Final;24;5700;100
Python;100;Lineal;Final;25;5500;100
Python;100;Lineal;Final;26;5600;100
Python;100;Lineal;Final;27;5600;100
Python;100;Lineal;Final;28;5600;100
Python;100;Lineal;Final;29;5700;100
Python;100;Lineal;Final;30;5800;100
Python;100;Binaria;Final;1;1600;7
Python;100;Binaria;Final;2;1200;7
Python;100;Binaria;Final;3;1100;7
Python;100;Binaria;Final;4;1100;7
Python;100;Binaria;Final;5;1100;7
Python;100;Binaria;Final;6;1100;7
Python;100;Binaria;Final;7;1100;7
Python;100;Binaria;Final;8;1100;7
Python;100;Binaria;Final;9;1100;7
Python;100;Binaria;Final;10;1100;7
Python;100;Binaria;Final;11;1000;7
Python;100;Binaria;Final;12;1100;7
Python;100;Binaria;Final;13;1100;7
Python;100;Binaria;Final;14;1100;7
Python;100;Binaria;Final;15;1100;7
Python;100;Binaria;Final;16;1100;7
Python;100;Binaria;Final;17;1100;7
Python;100;Binaria;Final;18;1100;7
Python;100;Binaria;Final;19;1000;7
Python;100;Binaria;Final;20;1100;7
Python;100;Binaria;Final;21;1200;7
Python;100;Binaria;Final;22;1100;7
Python;100;Binaria;Final;23;1100;7
Python;100;Binaria;Final;24;1100;7
Python;100;Binaria;Final;25;1100;7
Python;100;Binaria;Final;26;1100;7
Python;100;Binaria;Final;27;1100;7
Python;100;Binaria;Final;28;1100;7
Python;100;Binaria;Final;29;1100;7
Python;100;Binaria;Final;30;1000;7
Python;100;Lineal;Ausente;1;6300;100
Python;100;Lineal;Ausente;2;5600;100
Python;100;Lineal;Ausente;3;5500;100
Python;100;Lineal;Ausente;4;5500;100
Python;100;Lineal;Ausente;5;5600;100
Python;100;Lineal;Ausente;6;5500;100
Python;100;Lineal;Ausente;7;5500;100
Python;100;Lineal;Ausente;8;5500;100
Python;100;Lineal;Ausente;9;5600;100
Python;100;Lineal;Ausente;10;5500;100
Python;100;Lineal;Ausente;11;5500;100
Python;100;Lineal;Ausente;12;5500;100
Python;100;Lineal;Ausente;13;5500;100
Python;100;Lineal;Ausente;14;20000;100
Python;100;Lineal;Ausente;15;6000;100
Python;100;Lineal;Ausente;16;5700;100
Python;100;Lineal;Ausente;17;5700;100
Python;100;Lineal;Ausente;18;5700;100
Python;100;Lineal;Ausente;19;5700;100
Python;100;Lineal;Ausente;20;5700;100
Python;100;Lineal;Ausente;21;5900;100
Python;100;Lineal;Ausente;22;5700;100
Python;100;Lineal;Ausente;23;5700;100
Python;100;Lineal;Ausente;24;5700;100
Python;100;Lineal;Ausente;25;5800;100
Python;100;Lineal;Ausente;26;5700;100
Python;100;Lineal;Ausente;27;5700;100
Python;100;Lineal;Ausente;28;5700;100
Python;100;Lineal;Ausente;29;5700;100
Python;100;Lineal;Ausente;30;5700;100
Python;100;Binaria;Ausente;1;1300;6
Python;100;Binaria;Ausente;2;1000;6
Python;100;Binaria;Ausente;3;1000;6
Python;100;Binaria;Ausente;4;1000;6
Python;100;Binaria;Ausente;5;1000;6
Python;100;Binaria;Ausente;6;1000;6
Python;100;Binaria;Ausente;7;1000;6
Python;100;Binaria;Ausente;8;1000;6
Python;100;Binaria;Ausente;9;900;6
Python;100;Binaria;Ausente;10;1000;6
Python;100;Binaria;Ausente;11;1000;6
Python;100;Binaria;Ausente;12;1000;6
Python;100;Binaria;Ausente;13;1000;6
Python;100;Binaria;Ausente;14;1000;6
Python;100;Binaria;Ausente;15;1300;6
Python;100;Binaria;Ausente;16;1100;6
Python;100;Binaria;Ausente;17;1000;6
Python;100;Binaria;Ausente;18;1000;6
Python;100;Binaria;Ausente;19;1000;6
Python;100;Binaria;Ausente;20;1000;6
Python;100;Binaria;Ausente;21;1000;6
Python;100;Binaria;Ausente;22;1000;6
Python;100;Binaria;Ausente;23;900;6
Python;100;Binaria;Ausente;24;900;6
Python;100;Binaria;Ausente;25;1000;6
Python;100;Binaria;Ausente;26;1000;6
Python;100;Binaria;Ausente;27;1000;6
Python;100;Binaria;Ausente;28;1000;6
Python;100;Binaria;Ausente;29;1000;6
Python;100;Binaria;Ausente;30;1000;6
Python;1000;Lineal;Inicio;1;1000;1
Python;1000;Lineal;Inicio;2;500;1
Python;1000;Lineal;Inicio;3;400;1
Python;1000;Lineal;Inicio;4;400;1
Python;1000;Lineal;Inicio;5;500;1
Python;1000;Lineal;Inicio;6;400;1
Python;1000;Lineal;Inicio;7;400;1
Python;1000;Lineal;Inicio;8;300;1
Python;1000;Lineal;Inicio;9;400;1
Python;1000;Lineal;Inicio;10;400;1
Python;1000;Lineal;Inicio;11;400;1
Python;1000;Lineal;Inicio;12;400;1
Python;1000;Lineal;Inicio;13;300;1
Python;1000;Lineal;Inicio;14;300;1
Python;1000;Lineal;Inicio;15;300;1
Python;1000;Lineal;Inicio;16;400;1
Python;1000;Lineal;Inicio;17;300;1
Python;1000;Lineal;Inicio;18;300;1
Python;1000;Lineal;Inicio;19;400;1
Python;1000;Lineal;Inicio;20;300;1
Python;1000;Lineal;Inicio;21;300;1
Python;1000;Lineal;Inicio;22;400;1
Python;1000;Lineal;Inicio;23;300;1
Python;1000;Lineal;Inicio;24;300;1
Python;1000;Lineal;Inicio;25;300;1
Python;1000;Lineal;Inicio;26;400;1
Python;1000;Lineal;Inicio;27;300;1
Python;1000;Lineal;Inicio;28;300;1
Python;1000;Lineal;Inicio;29;400;1
Python;1000;Lineal;Inicio;30;400;1
Python;1000;Binaria;Inicio;1;3200;9
Python;1000;Binaria;Inicio;2;2100;9
Python;1000;Binaria;Inicio;3;1900;9
Python;1000;Binaria;Inicio;4;1400;9
Python;1000;Binaria;Inicio;5;1500;9
Python;1000;Binaria;Inicio;6;1400;9
Python;1000;Binaria;Inicio;7;1400;9
Python;1000;Binaria;Inicio;8;1400;9
Python;1000;Binaria;Inicio;9;1400;9
Python;1000;Binaria;Inicio;10;1400;9
Python;1000;Binaria;Inicio;11;1300;9
Python;1000;Binaria;Inicio;12;1500;9
Python;1000;Binaria;Inicio;13;1400;9
Python;1000;Binaria;Inicio;14;1400;9
Python;1000;Binaria;Inicio;15;1500;9
Python;1000;Binaria;Inicio;16;1400;9
Python;1000;Binaria;Inicio;17;1400;9
Python;1000;Binaria;Inicio;18;1400;9
Python;1000;Binaria;Inicio;19;1300;9
Python;1000;Binaria;Inicio;20;1400;9
Python;1000;Binaria;Inicio;21;1400;9
Python;1000;Binaria;Inicio;22;1400;9
Python;1000;Binaria;Inicio;23;1400;9
Python;1000;Binaria;Inicio;24;1400;9
Python;1000;Binaria;Inicio;25;1400;9
Python;1000;Binaria;Inicio;26;1500;9
Python;1000;Binaria;Inicio;27;1300;9
Python;1000;Binaria;Inicio;28;1400;9
Python;1000;Binaria;Inicio;29;1400;9
Python;1000;Binaria;Inicio;30;1500;9
Python;1000;Lineal;Centro;1;32100;501
Python;1000;Lineal;Centro;2;31100;501
Python;1000;Lineal;Centro;3;30600;501
Python;1000;Lineal;Centro;4;29800;501
Python;1000;Lineal;Centro;5;67800;501
Python;1000;Lineal;Centro;6;31900;501
Python;1000;Lineal;Centro;7;65000;501
Python;1000;Lineal;Centro;8;30800;501
Python;1000;Lineal;Centro;9;29300;501
Python;1000;Lineal;Centro;10;29900;501
Python;1000;Lineal;Centro;11;28900;501
Python;1000;Lineal;Centro;12;29100;501
Python;1000;Lineal;Centro;13;29000;501
Python;1000;Lineal;Centro;14;29200;501
Python;1000;Lineal;Centro;15;28600;501
Python;1000;Lineal;Centro;16;28800;501
Python;1000;Lineal;Centro;17;28900;501
Python;1000;Lineal;Centro;18;29100;501
Python;1000;Lineal;Centro;19;28700;501
Python;1000;Lineal;Centro;20;29000;501
Python;1000;Lineal;Centro;21;28900;501
Python;1000;Lineal;Centro;22;28900;501
Python;1000;Lineal;Centro;23;29600;501
Python;1000;Lineal;Centro;24;37200;501
Python;1000;Lineal;Centro;25;29000;501
Python;1000;Lineal;Centro;26;28200;501
Python;1000;Lineal;Centro;27;28700;501
Python;1000;Lineal;Centro;28;28900;501
Python;1000;Lineal;Centro;29;27700;501
Python;1000;Lineal;Centro;30;28300;501
Python;1000;Binaria;Centro;1;5200;9
Python;1000;Binaria;Centro;2;2200;9
Python;1000;Binaria;Centro;3;1800;9
Python;1000;Binaria;Centro;4;1700;9
Python;1000;Binaria;Centro;5;1700;9
Python;1000;Binaria;Centro;6;1500;9
Python;1000;Binaria;Centro;7;1500;9
Python;1000;Binaria;Centro;8;1500;9
Python;1000;Binaria;Centro;9;1600;9
Python;1000;Binaria;Centro;10;1500;9
Python;1000;Binaria;Centro;11;1700;9
Python;1000;Binaria;Centro;12;1500;9
Python;1000;Binaria;Centro;13;1500;9
Python;1000;Binaria;Centro;14;1500;9
Python;1000;Binaria;Centro;15;1500;9
Python;1000;Binaria;Centro;16;1600;9
Python;1000;Binaria;Centro;17;1600;9
Python;1000;Binaria;Centro;18;1600;9
Python;1000;Binaria;Centro;19;1600;9
Python;1000;Binaria;Centro;20;1500;9
Python;1000;Binaria;Centro;21;1600;9
Python;1000;Binaria;Centro;22;1500;9
Python;1000;Binaria;Centro;23;1500;9
Python;1000;Binaria;Centro;24;1600;9
Python;1000;Binaria;Centro;25;1600;9
Python;1000;Binaria;Centro;26;1400;9
Python;1000;Binaria;Centro;27;1500;9
Python;1000;Binaria;Centro;28;1400;9
Python;1000;Binaria;Centro;29;1500;9
Python;1000;Binaria;Centro;30;1500;9
Python;1000;Lineal;Final;1;62300;1000
Python;1000;Lineal;Final;2;60600;1000
Python;1000;Lineal;Final;3;62700;1000
Python;1000;Lineal;Final;4;58300;1000
Python;1000;Lineal;Final;5;61700;1000
Python;1000;Lineal;Final;6;57600;1000
Python;1000;Lineal;Final;7;61000;1000
Python;1000;Lineal;Final;8;58300;1000
Python;1000;Lineal;Final;9;74700;1000
Python;1000;Lineal;Final;10;62900;1000
Python;1000;Lineal;Final;11;62100;1000
Python;1000;Lineal;Final;12;61800;1000
Python;1000;Lineal;Final;13;61600;1000
Python;1000;Lineal;Final;14;66500;1000
Python;1000;Lineal;Final;15;61800;1000
Python;1000;Lineal;Final;16;62700;1000
Python;1000;Lineal;Final;17;60100;1000
Python;1000;Lineal;Final;18;61300;1000
Python;1000;Lineal;Final;19;61800;1000
Python;1000;Lineal;Final;20;61900;1000
Python;1000;Lineal;Final;21;60300;1000
Python;1000;Lineal;Final;22;62100;1000
Python;1000;Lineal;Final;23;62000;1000
Python;1000;Lineal;Final;24;63100;1000
Python;1000;Lineal;Final;25;61500;1000
Python;1000;Lineal;Final;26;62000;1000
Python;1000;Lineal;Final;27;61800;1000
Python;1000;Lineal;Final;28;59900;1000
Python;1000;Lineal;Final;29;62600;1000
Python;1000;Lineal;Final;30;58000;1000
Python;1000;Binaria;Final;1;3100;10
Python;1000;Binaria;Final;2;2200;10
Python;1000;Binaria;Final;3;2000;10
Python;1000;Binaria;Final;4;1700;10
Python;1000;Binaria;Final;5;1700;10
Python;1000;Binaria;Final;6;1700;10
Python;1000;Binaria;Final;7;1800;10
Python;1000;Binaria;Final;8;1800;10
Python;1000;Binaria;Final;9;1800;10
Python;1000;Binaria;Final;10;1700;10
Python;1000;Binaria;Final;11;1700;10
Python;1000;Binaria;Final;12;1700;10
Python;1000;Binaria;Final;13;1700;10
Python;1000;Binaria;Final;14;1800;10
Python;1000;Binaria;Final;15;1700;10
Python;1000;Binaria;Final;16;1700;10
Python;1000;Binaria;Final;17;1800;10
Python;1000;Binaria;Final;18;1800;10
Python;1000;Binaria;Final;19;1700;10
Python;1000;Binaria;Final;20;1700;10
Python;1000;Binaria;Final;21;1700;10
Python;1000;Binaria;Final;22;1700;10
Python;1000;Binaria;Final;23;1700;10
Python;1000;Binaria;Final;24;1600;10
Python;1000;Binaria;Final;25;1800;10
Python;1000;Binaria;Final;26;1700;10
Python;1000;Binaria;Final;27;1600;10
Python;1000;Binaria;Final;28;1700;10
Python;1000;Binaria;Final;29;1700;10
Python;1000;Binaria;Final;30;1800;10
Python;1000;Lineal;Ausente;1;63700;1000
Python;1000;Lineal;Ausente;2;61100;1000
Python;1000;Lineal;Ausente;3;65100;1000
Python;1000;Lineal;Ausente;4;63200;1000
Python;1000;Lineal;Ausente;5;66200;1000
Python;1000;Lineal;Ausente;6;63400;1000
Python;1000;Lineal;Ausente;7;63300;1000
Python;1000;Lineal;Ausente;8;70700;1000
Python;1000;Lineal;Ausente;9;64200;1000
Python;1000;Lineal;Ausente;10;64800;1000
Python;1000;Lineal;Ausente;11;64100;1000
Python;1000;Lineal;Ausente;12;64000;1000
Python;1000;Lineal;Ausente;13;63700;1000
Python;1000;Lineal;Ausente;14;62800;1000
Python;1000;Lineal;Ausente;15;62900;1000
Python;1000;Lineal;Ausente;16;63200;1000
Python;1000;Lineal;Ausente;17;63400;1000
Python;1000;Lineal;Ausente;18;62800;1000
Python;1000;Lineal;Ausente;19;68400;1000
Python;1000;Lineal;Ausente;20;63900;1000
Python;1000;Lineal;Ausente;21;65700;1000
Python;1000;Lineal;Ausente;22;67200;1000
Python;1000;Lineal;Ausente;23;65000;1000
Python;1000;Lineal;Ausente;24;66100;1000
Python;1000;Lineal;Ausente;25;66100;1000
Python;1000;Lineal;Ausente;26;64000;1000
Python;1000;Lineal;Ausente;27;66100;1000
Python;1000;Lineal;Ausente;28;66500;1000
Python;1000;Lineal;Ausente;29;64500;1000
Python;1000;Lineal;Ausente;30;66700;1000
Python;1000;Binaria;Ausente;1;3400;9
Python;1000;Binaria;Ausente;2;2300;9
Python;1000;Binaria;Ausente;3;1700;9
Python;1000;Binaria;Ausente;4;1500;9
Python;1000;Binaria;Ausente;5;1500;9
Python;1000;Binaria;Ausente;6;1500;9
Python;1000;Binaria;Ausente;7;1500;9
Python;1000;Binaria;Ausente;8;1500;9
Python;1000;Binaria;Ausente;9;1500;9
Python;1000;Binaria;Ausente;10;1500;9
Python;1000;Binaria;Ausente;11;1500;9
Python;1000;Binaria;Ausente;12;1500;9
Python;1000;Binaria;Ausente;13;1400;9
Python;1000;Binaria;Ausente;14;1500;9
Python;1000;Binaria;Ausente;15;1600;9
Python;1000;Binaria;Ausente;16;1400;9
Python;1000;Binaria;Ausente;17;1500;9
Python;1000;Binaria;Ausente;18;1500;9
Python;1000;Binaria;Ausente;19;1600;9
Python;1000;Binaria;Ausente;20;1500;9
Python;1000;Binaria;Ausente;21;1500;9
Python;1000;Binaria;Ausente;22;1400;9
Python;1000;Binaria;Ausente;23;1500;9
Python;1000;Binaria;Ausente;24;1500;9
Python;1000;Binaria;Ausente;25;1500;9
Python;1000;Binaria;Ausente;26;1400;9
Python;1000;Binaria;Ausente;27;1500;9
Python;1000;Binaria;Ausente;28;1500;9
Python;1000;Binaria;Ausente;29;1500;9
Python;1000;Binaria;Ausente;30;1500;9
Python;10000;Lineal;Inicio;1;1300;1
Python;10000;Lineal;Inicio;2;400;1
Python;10000;Lineal;Inicio;3;400;1
Python;10000;Lineal;Inicio;4;400;1
Python;10000;Lineal;Inicio;5;300;1
Python;10000;Lineal;Inicio;6;400;1
Python;10000;Lineal;Inicio;7;300;1
Python;10000;Lineal;Inicio;8;300;1
Python;10000;Lineal;Inicio;9;400;1
Python;10000;Lineal;Inicio;10;400;1
Python;10000;Lineal;Inicio;11;300;1
Python;10000;Lineal;Inicio;12;400;1
Python;10000;Lineal;Inicio;13;400;1
Python;10000;Lineal;Inicio;14;300;1
Python;10000;Lineal;Inicio;15;300;1
Python;10000;Lineal;Inicio;16;400;1
Python;10000;Lineal;Inicio;17;400;1
Python;10000;Lineal;Inicio;18;300;1
Python;10000;Lineal;Inicio;19;300;1
Python;10000;Lineal;Inicio;20;300;1
Python;10000;Lineal;Inicio;21;400;1
Python;10000;Lineal;Inicio;22;400;1
Python;10000;Lineal;Inicio;23;300;1
Python;10000;Lineal;Inicio;24;300;1
Python;10000;Lineal;Inicio;25;300;1
Python;10000;Lineal;Inicio;26;400;1
Python;10000;Lineal;Inicio;27;300;1
Python;10000;Lineal;Inicio;28;300;1
Python;10000;Lineal;Inicio;29;300;1
Python;10000;Lineal;Inicio;30;300;1
Python;10000;Binaria;Inicio;1;3200;13
Python;10000;Binaria;Inicio;2;2100;13
Python;10000;Binaria;Inicio;3;2100;13
Python;10000;Binaria;Inicio;4;2000;13
Python;10000;Binaria;Inicio;5;2000;13
Python;10000;Binaria;Inicio;6;2100;13
Python;10000;Binaria;Inicio;7;2000;13
Python;10000;Binaria;Inicio;8;2100;13
Python;10000;Binaria;Inicio;9;2000;13
Python;10000;Binaria;Inicio;10;2000;13
Python;10000;Binaria;Inicio;11;2000;13
Python;10000;Binaria;Inicio;12;2000;13
Python;10000;Binaria;Inicio;13;1900;13
Python;10000;Binaria;Inicio;14;2400;13
Python;10000;Binaria;Inicio;15;2000;13
Python;10000;Binaria;Inicio;16;2000;13
Python;10000;Binaria;Inicio;17;2000;13
Python;10000;Binaria;Inicio;18;2000;13
Python;10000;Binaria;Inicio;19;1900;13
Python;10000;Binaria;Inicio;20;2000;13
Python;10000;Binaria;Inicio;21;2000;13
Python;10000;Binaria;Inicio;22;2000;13
Python;10000;Binaria;Inicio;23;2100;13
Python;10000;Binaria;Inicio;24;2000;13
Python;10000;Binaria;Inicio;25;2000;13
Python;10000;Binaria;Inicio;26;2000;13
Python;10000;Binaria;Inicio;27;2000;13
Python;10000;Binaria;Inicio;28;2100;13
Python;10000;Binaria;Inicio;29;2000;13
Python;10000;Binaria;Inicio;30;2000;13
Python;10000;Lineal;Centro;1;306100;5001
Python;10000;Lineal;Centro;2;306400;5001
Python;10000;Lineal;Centro;3;305300;5001
Python;10000;Lineal;Centro;4;303600;5001
Python;10000;Lineal;Centro;5;304400;5001
Python;10000;Lineal;Centro;6;307400;5001
Python;10000;Lineal;Centro;7;483900;5001
Python;10000;Lineal;Centro;8;539000;5001
Python;10000;Lineal;Centro;9;616700;5001
