n,algoritmo,escenario,repeticion,tiempo_ns,comparaciones
100,Lineal,Inicio,1,100,1
100,Binaria,Inicio,1,300,6
100,Lineal,Inicio,2,100,1
100,Binaria,Inicio,2,100,6
100,Lineal,Inicio,3,0,1
100,Binaria,Inicio,3,100,6
100,Lineal,Inicio,4,100,1
100,Binaria,Inicio,4,0,6
100,Lineal,Inicio,5,0,1
100,Binaria,Inicio,5,100,6
100,Lineal,Inicio,6,100,1
100,Binaria,Inicio,6,0,6
100,Lineal,Inicio,7,0,1
100,Binaria,Inicio,7,100,6
100,Lineal,Inicio,8,100,1
100,Binaria,Inicio,8,0,6
100,Lineal,Inicio,9,0,1
100,Binaria,Inicio,9,100,6
100,Lineal,Inicio,10,100,1
100,Binaria,Inicio,10,100,6
100,Lineal,Inicio,11,0,1
100,Binaria,Inicio,11,0,6
100,Lineal,Inicio,12,100,1
100,Binaria,Inicio,12,100,6
100,Lineal,Inicio,13,100,1
100,Binaria,Inicio,13,100,6
100,Lineal,Inicio,14,100,1
100,Binaria,Inicio,14,100,6
100,Lineal,Inicio,15,0,1
100,Binaria,Inicio,15,0,6
100,Lineal,Inicio,16,0,1
100,Binaria,Inicio,16,100,6
100,Lineal,Inicio,17,100,1
100,Binaria,Inicio,17,100,6
100,Lineal,Inicio,18,0,1
100,Binaria,Inicio,18,100,6
100,Lineal,Inicio,19,100,1
100,Binaria,Inicio,19,100,6
100,Lineal,Inicio,20,0,1
100,Binaria,Inicio,20,100,6
100,Lineal,Inicio,21,100,1
100,Binaria,Inicio,21,100,6
100,Lineal,Inicio,22,0,1
100,Binaria,Inicio,22,100,6
100,Lineal,Inicio,23,0,1
100,Binaria,Inicio,23,0,6
100,Lineal,Inicio,24,0,1
100,Binaria,Inicio,24,0,6
100,Lineal,Inicio,25,100,1
100,Binaria,Inicio,25,100,6
100,Lineal,Inicio,26,100,1
100,Binaria,Inicio,26,100,6
100,Lineal,Inicio,27,100,1
100,Binaria,Inicio,27,0,6
100,Lineal,Inicio,28,100,1
100,Binaria,Inicio,28,100,6
100,Lineal,Inicio,29,0,1
100,Binaria,Inicio,29,100,6
100,Lineal,Inicio,30,0,1
100,Binaria,Inicio,30,100,6
100,Lineal,Centro,1,300,51
100,Binaria,Centro,1,100,6
100,Lineal,Centro,2,300,51
100,Binaria,Centro,2,100,6
100,Lineal,Centro,3,500,51
100,Binaria,Centro,3,200,6
100,Lineal,Centro,4,300,51
100,Binaria,Centro,4,200,6
100,Lineal,Centro,5,200,51
100,Binaria,Centro,5,100,6
100,Lineal,Centro,6,300,51
100,Binaria,Centro,6,100,6
100,Lineal,Centro,7,300,51
100,Binaria,Centro,7,100,6
100,Lineal,Centro,8,200,51
100,Binaria,Centro,8,0,6
100,Lineal,Centro,9,300,51
100,Binaria,Centro,9,100,6
100,Lineal,Centro,10,300,51
100,Binaria,Centro,10,100,6
100,Lineal,Centro,11,300,51
100,Binaria,Centro,11,100,6
100,Lineal,Centro,12,300,51
100,Binaria,Centro,12,100,6
